"species";"result";"ViltID";"Ankomstdatum";"coords.x1";"coords.x2"
"Sparvhök";"0";"VLT 1334/17";"2017-04-19";"18.0665458833613";"60.0074259682413"
"Trana";"0";"VLT 2120/17";"2017-08-22";"14.0214405950954";"64.7227573677623"
"Fjällvråk";"0";"VLT 2431/17";"2017-09-14";"16.4596452261478";"63.0703824387306"
"Havsörn";"0";"VLT 2736/17";"2017-10-17";"17.035442141173";"60.9596311715383"
"Havsörn";"0";"VLT 2805/17";"2017-10-25";"20.0336347121704";"65.0504966523382"
"Duvhök";"0";"VLT 200/18";"2018-02-08";"15.5672259259929";"58.1824753453266"
"Hornuggla";"0";"VLT 593/18";"2018-03-27";"17.0791995103824";"59.6366060297715"
"Gräsand";"0";"VLT 2083/18";"2018-10-17";"12.9905605342379";"55.5911060972876"
"Kaja";"0";"VLT 45/19";"2019-01-15";"11.9405813638157";"58.3523689443509"
"Stadsduva";"0";"VLT 373/19";"2019-02-21";"12.6795967691853";"58.3415759157537"
"Domherre";"0";"VLT 635/19";"2019-04-02";"15.8252085367127";"60.6341636884773"
"Kattuggla";"0";"VLT 749/19";"2019-04-23";"18.3336856502491";"60.0167350128208"
"Kanadagås";"0";"VLT 2609/18";"2018-12-17";"17.9653179001629";"59.3722811043981"
"Tretåig mås";"0";"VLT 38/17";"2017-01-10";"12.2556794234305";"57.0702212373488"
"Gräsand";"0";"VLT 101/17";"2017-01-13";"17.1222730124505";"60.6716769153422"
"Kaja";"0";"VLT 147/17";"2017-01-17";"17.6742965838831";"59.871738958494"
"Ormvråk";"1";"VLT 1047/17";"2017-03-07";"12.9682998153126";"55.5836194837971"
"Domherre";"0";"VLT 1100/17";"2017-03-10";"22.1649373240065";"65.58409006375"
"Havsörn";"0";"VLT 1249/17";"2017-03-24";"17.7659211264383";"59.5146029106763"
"Pilgrimsfalk";"0";"VLT 1547/17";"2017-05-12";"12.3121220867399";"57.0742449693418"
"Sparvhök";"0";"VLT 2079/17";"2017-08-15";"16.431301474285";"59.7089401842317"
"Duvhök";"0";"VLT 2088/17";"2017-08-16";"15.9273335095301";"59.1073252498823"
"Skata";"0";"VLT 2095/17";"2017-08-17";"17.6142471862125";"59.875396020694"
"Gröngöling";"0";"VLT 2173/17";"2017-08-28";"17.6433180753507";"59.7633056315781"
"Skrattmås";"0";"VLT 2590/17";"2017-09-28";"14.7597959109229";"58.4218117475181"
"Röd glada";"0";"VLT 2723/17";"2017-10-17";"14.3475101459314";"55.5518468390073"
